               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,             0.03514,           0.0097515,            0.016311,             0.67254,             0.85454,             0.78353,             0.54025,             0.02315,            0.005396,            0.012996,           0.0090298,           0.0090298,           0.0090298
                  51,            0.035053,           0.0099674,             0.01734,             0.71636,             0.97696,             0.87319,             0.57258,            0.021971,           0.0051425,           0.0052418,             0.00901,             0.00901,             0.00901
                  52,            0.035131,           0.0093293,             0.01788,             0.97525,              0.9651,             0.98261,             0.57881,            0.019437,           0.0051556,           0.0052706,           0.0089902,           0.0089902,           0.0089902
                  53,            0.033182,           0.0093051,            0.017852,             0.77007,             0.95974,             0.97556,             0.61822,            0.023605,           0.0051856,           0.0053676,           0.0089704,           0.0089704,           0.0089704
                  54,            0.032715,           0.0093298,            0.018978,             0.82129,             0.88967,              0.9082,             0.61301,            0.015861,           0.0048061,            0.013053,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035444,           0.0092122,            0.015746,             0.57589,             0.92593,             0.81221,             0.52764,            0.020958,           0.0051371,            0.026722,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035875,           0.0088084,            0.018596,             0.71137,             0.90999,             0.83401,             0.61419,            0.015242,            0.004669,            0.024309,            0.008911,            0.008911,            0.008911
                  57,            0.031124,           0.0097856,            0.016649,             0.85073,             0.64461,             0.84097,             0.57438,            0.019926,           0.0047663,            0.019038,           0.0088912,           0.0088912,           0.0088912
                  58,            0.037126,            0.009302,            0.014301,             0.63542,             0.90541,             0.82639,             0.57965,            0.020941,           0.0048573,            0.025277,           0.0088714,           0.0088714,           0.0088714
                  59,            0.031609,           0.0087293,            0.014567,             0.91942,             0.85717,             0.94514,             0.69702,            0.019072,           0.0046834,             0.01066,           0.0088516,           0.0088516,           0.0088516
                  60,            0.031073,           0.0086383,            0.014879,             0.92927,             0.97222,             0.95571,             0.55312,            0.023488,           0.0050065,           0.0048902,           0.0088318,           0.0088318,           0.0088318
                  61,            0.033993,           0.0088001,            0.014411,             0.61745,             0.96296,             0.78566,             0.44542,             0.02824,           0.0051654,           0.0057077,            0.008812,            0.008812,            0.008812
                  62,            0.030561,           0.0096709,            0.013826,             0.77954,              0.9336,              0.8345,             0.53922,            0.023338,           0.0049469,           0.0075552,           0.0087922,           0.0087922,           0.0087922
                  63,            0.029829,           0.0087127,            0.011559,             0.77748,             0.91948,             0.86682,             0.50996,            0.022149,            0.004873,           0.0043112,           0.0087724,           0.0087724,           0.0087724
                  64,            0.031687,           0.0088002,            0.012454,             0.96061,                   1,             0.99431,             0.75183,            0.015509,           0.0046216,           0.0041665,           0.0087526,           0.0087526,           0.0087526
                  65,            0.032041,           0.0085133,            0.013651,             0.87255,             0.97333,             0.96779,             0.63834,            0.020474,           0.0048035,           0.0040595,           0.0087328,           0.0087328,           0.0087328
                  66,             0.02957,            0.009072,            0.012308,             0.93381,             0.98639,             0.98436,             0.46275,            0.024122,           0.0048102,           0.0039757,            0.008713,            0.008713,            0.008713
                  67,            0.031992,           0.0089462,            0.014111,             0.76653,             0.98913,             0.95428,             0.67042,            0.018354,           0.0043965,            0.003747,           0.0086932,           0.0086932,           0.0086932
                  68,             0.03057,           0.0099238,            0.014011,             0.73381,             0.97826,              0.9617,             0.65125,            0.021947,           0.0047491,           0.0040702,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032266,            0.008325,            0.014305,              0.6713,             0.92391,              0.9288,             0.58475,            0.024858,           0.0046214,           0.0051574,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02925,           0.0079979,            0.017909,             0.95303,             0.96602,             0.98906,             0.75073,            0.015236,           0.0043863,           0.0072195,           0.0086338,           0.0086338,           0.0086338
                  71,            0.031135,           0.0089034,            0.012232,             0.97881,             0.98913,             0.98994,              0.7301,            0.015608,           0.0043636,           0.0037501,            0.008614,            0.008614,            0.008614
                  72,            0.029698,           0.0079722,            0.014963,             0.98178,             0.96739,             0.99008,              0.6979,            0.017793,            0.004536,           0.0036734,           0.0085942,           0.0085942,           0.0085942
                  73,            0.030718,           0.0088163,            0.013615,             0.94533,             0.98913,             0.99093,             0.61755,             0.02106,           0.0049124,           0.0028932,           0.0085744,           0.0085744,           0.0085744
                  74,            0.029688,           0.0090348,            0.010368,             0.74781,             0.99545,              0.9426,              0.6299,            0.020849,           0.0047609,           0.0029861,           0.0085546,           0.0085546,           0.0085546
                  75,            0.033438,           0.0095518,            0.015045,             0.99742,             0.98656,             0.99466,             0.73955,             0.01523,           0.0046734,           0.0053501,           0.0085348,           0.0085348,           0.0085348
                  76,            0.032087,           0.0095413,            0.010642,             0.98839,             0.99063,             0.99452,             0.62672,             0.02032,             0.00458,           0.0065663,            0.008515,            0.008515,            0.008515
                  77,            0.032837,           0.0081986,            0.013919,             0.94738,             0.95066,              0.9879,             0.46083,            0.024029,           0.0048842,           0.0070678,           0.0084952,           0.0084952,           0.0084952
                  78,            0.031875,           0.0090603,            0.012458,             0.90708,             0.92888,             0.96618,             0.66845,            0.017351,           0.0046356,            0.013195,           0.0084754,           0.0084754,           0.0084754
                  79,            0.028461,            0.008366,            0.020485,             0.98569,             0.99074,              0.9947,             0.77903,            0.014634,           0.0040984,           0.0056329,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027821,            0.008367,            0.014078,              0.9607,             0.99074,             0.99387,             0.60685,             0.01872,           0.0042904,           0.0047624,           0.0084358,           0.0084358,           0.0084358
                  81,            0.029313,           0.0094744,            0.014416,             0.99582,                   1,               0.995,             0.76579,            0.017322,           0.0043067,           0.0030331,            0.008416,            0.008416,            0.008416
                  82,            0.029633,           0.0085976,            0.011256,             0.67578,                   1,             0.91693,             0.69306,            0.024201,           0.0046247,           0.0029049,           0.0083962,           0.0083962,           0.0083962
                  83,            0.029436,            0.008303,            0.013151,             0.84909,                   1,             0.98451,               0.683,            0.018695,            0.004525,            0.003006,           0.0083764,           0.0083764,           0.0083764
                  84,            0.030931,           0.0083573,            0.010036,             0.99787,                   1,               0.995,             0.71477,            0.015813,           0.0041913,           0.0030154,           0.0083566,           0.0083566,           0.0083566
                  85,            0.027389,           0.0084068,             0.01352,               0.992,             0.99859,               0.995,             0.63221,            0.015877,           0.0044842,           0.0035325,           0.0083368,           0.0083368,           0.0083368
                  86,            0.028166,           0.0086492,           0.0099528,             0.89217,             0.94392,             0.98133,             0.74158,            0.019563,           0.0045159,           0.0039585,            0.008317,            0.008317,            0.008317
                  87,             0.03005,           0.0083429,            0.011085,             0.99312,             0.99062,               0.995,             0.74209,              0.0149,           0.0041728,            0.004019,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02894,           0.0091346,            0.010185,             0.83176,             0.99242,             0.92936,             0.69702,            0.017038,           0.0041753,           0.0034475,           0.0082774,           0.0082774,           0.0082774
                  89,            0.030081,           0.0090076,           0.0099198,             0.67137,             0.95802,             0.96045,             0.75388,             0.01811,           0.0041316,           0.0030255,           0.0082576,           0.0082576,           0.0082576
                  90,            0.027785,           0.0088458,            0.010828,             0.98686,             0.99694,               0.995,             0.73296,            0.015927,           0.0042305,           0.0036554,           0.0082378,           0.0082378,           0.0082378
                  91,            0.029253,            0.008965,            0.012895,             0.97573,                   1,               0.995,             0.72911,             0.01679,           0.0044562,           0.0038014,            0.008218,            0.008218,            0.008218
                  92,            0.026977,           0.0080013,              0.0167,              0.9641,             0.99611,               0.995,             0.78501,            0.014746,           0.0042001,           0.0032806,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028581,           0.0081332,            0.010662,             0.73015,             0.98913,             0.97831,             0.66217,             0.02012,           0.0044648,            0.003279,           0.0081784,           0.0081784,           0.0081784
                  94,            0.026744,           0.0087715,            0.010619,             0.96711,             0.97906,               0.995,             0.73971,            0.013946,            0.004231,           0.0030739,           0.0081586,           0.0081586,           0.0081586
                  95,            0.029762,            0.008478,           0.0084558,              0.9898,             0.99966,               0.995,             0.78567,            0.012513,           0.0041362,           0.0028168,           0.0081388,           0.0081388,           0.0081388
                  96,            0.028527,           0.0095023,            0.010099,             0.99621,                   1,               0.995,             0.67977,            0.017381,            0.004365,           0.0026401,            0.008119,            0.008119,            0.008119
                  97,            0.029177,           0.0075724,            0.012312,             0.99739,                   1,               0.995,             0.73879,            0.019388,           0.0044582,           0.0025754,           0.0080992,           0.0080992,           0.0080992
                  98,            0.026139,           0.0084781,           0.0097921,             0.89353,             0.99775,             0.99479,             0.68123,            0.018312,           0.0044886,            0.002558,           0.0080794,           0.0080794,           0.0080794
                  99,            0.028853,           0.0086414,            0.011963,             0.99683,                   1,               0.995,             0.70709,            0.016938,           0.0045607,           0.0027079,           0.0080596,           0.0080596,           0.0080596
                 100,            0.025653,           0.0088932,           0.0096156,             0.99239,             0.99734,               0.995,              0.7195,            0.014892,            0.004446,           0.0030002,           0.0080398,           0.0080398,           0.0080398
                 101,            0.025979,           0.0076636,           0.0086167,             0.97609,             0.97849,              0.9947,             0.69245,            0.017462,           0.0044695,           0.0039261,             0.00802,             0.00802,             0.00802
                 102,            0.026421,            0.008041,            0.011176,             0.76141,             0.98606,             0.96315,             0.74123,            0.016032,           0.0041508,           0.0035225,           0.0080002,           0.0080002,           0.0080002
                 103,            0.026164,           0.0079573,            0.012215,             0.98887,             0.98913,             0.98848,             0.61857,             0.01637,           0.0041801,           0.0036263,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026931,           0.0090228,            0.011557,             0.98905,             0.98913,             0.99193,             0.78611,            0.013284,            0.003977,           0.0035435,           0.0079606,           0.0079606,           0.0079606
                 105,             0.02519,           0.0081075,            0.014078,             0.97803,                   1,             0.99448,              0.8343,            0.013648,           0.0040804,            0.003113,           0.0079408,           0.0079408,           0.0079408
                 106,            0.024245,           0.0085821,            0.012871,             0.99792,                   1,               0.995,             0.79443,            0.014149,           0.0040094,           0.0028363,            0.007921,            0.007921,            0.007921
                 107,            0.024692,           0.0085112,            0.010676,             0.99822,                   1,               0.995,             0.86108,            0.012155,           0.0040608,           0.0027125,           0.0079012,           0.0079012,           0.0079012
                 108,            0.026771,            0.008259,            0.012782,             0.99849,                   1,               0.995,             0.74419,            0.015857,           0.0045392,           0.0026955,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026882,           0.0083883,            0.010054,             0.99846,                   1,               0.995,             0.76754,            0.012734,           0.0040977,           0.0026536,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02405,           0.0079558,            0.011977,             0.99571,             0.97222,             0.99437,             0.72981,            0.015213,           0.0041703,           0.0037814,           0.0078418,           0.0078418,           0.0078418
                 111,            0.024688,           0.0081765,           0.0095462,             0.98091,             0.98302,             0.99491,             0.69628,            0.016707,           0.0041016,           0.0033979,            0.007822,            0.007822,            0.007822
                 112,            0.026516,           0.0085827,            0.010777,              0.9877,             0.99962,               0.995,             0.83015,            0.011363,           0.0038806,           0.0030249,           0.0078022,           0.0078022,           0.0078022
                 113,             0.02276,             0.00807,           0.0092807,             0.81022,             0.90862,             0.97682,             0.66651,            0.022023,           0.0045597,           0.0036693,           0.0077824,           0.0077824,           0.0077824
                 114,            0.027499,           0.0080167,            0.012633,             0.97844,             0.98913,             0.98871,             0.66367,            0.017253,           0.0042791,           0.0035432,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026013,           0.0084205,            0.011061,             0.98893,             0.98913,             0.99458,             0.78546,            0.012207,           0.0038563,           0.0031992,           0.0077428,           0.0077428,           0.0077428
                 116,            0.026333,           0.0079497,           0.0096461,             0.98943,             0.98913,             0.99439,              0.7189,            0.015993,           0.0040219,           0.0030726,            0.007723,            0.007723,            0.007723
                 117,            0.026551,           0.0076169,            0.010569,              0.9782,             0.99635,             0.99451,             0.73284,            0.016616,           0.0042062,           0.0034365,           0.0077032,           0.0077032,           0.0077032
